Year,Make,Model,Condition,Price,Consumer_Rating,,,,,,,,,,
2023,Honda,Pilot TrailSport,New,"$51,735 ",5,,,,,,,,,,
2023,Honda,HR-V LX,New,"$24,895 ",4.6,,,,,,,,,,
2022,Honda,Passport TrailSport,New,"$45,169 ",4.9,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$45,920 ",4.8,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",4.8,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$36,900 ",4.7,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$42,950 ",4.5,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$36,983 ",4.5,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$39,950 ",4.5,,,,,,,,,,
2023,Honda,Passport Elite,New,"$48,250 ",4.5,,,,,,,,,,
2023,Honda,Passport EX-L,New,"$42,790 ",4.5,,,,,,,,,,
2023,Honda,Passport EX-L,New,"$42,790 ",3.7,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$46,500 ",5,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,600 ",4.8,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$37,551 ",5,,,,,,,,,,
2022,Honda,HR-V EX-L,New,"$29,790 ",4.7,,,,,,,,,,
2023,Honda,Passport EX-L,New,"$39,981 ",4.7,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$37,494 ",5,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$43,605 ",4.6,,,,,,,,,,
2023,Honda,HR-V LX,New,"$24,895 ",4.7,,,,,,,,,,
2022,Honda,Accord Sport 2.0T,New,"$34,755 ",5,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$43,600 ",4.6,,,,,,,,,,
2022,Honda,Accord Sport 2.0T,New,"$34,755 ",5,,,,,,,,,,
2023,Honda,CR-V EX,New,"$34,405 ",4.7,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$32,158 ",3,,,,,,,,,,
2023,Honda,Odyssey Elite,New,"$50,915 ",4.4,,,,,,,,,,
2023,Honda,Odyssey Touring,New,"$46,290 ",4.4,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",5,,,,,,,,,,
2023,Honda,Odyssey Elite,New,"$50,765 ",4.4,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$43,195 ",5,,,,,,,,,,
2022,Honda,Passport EX-L,New,"$40,995 ",4.9,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",4.8,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.8,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$48,343 ",4.6,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$41,688 ",4.6,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",4.8,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,600 ",5,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,770 ",5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.4,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",4.9,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$34,090 ",4.4,,,,,,,,,,
2023,Honda,Passport Elite,New,"$51,150 ",5,,,,,,,,,,
2023,Honda,Civic Sport,New,"$29,540 ",5,,,,,,,,,,
2023,Honda,Civic Touring,New,"$34,145 ",5,,,,,,,,,,
2022,Honda,Accord Sport 2.0T,New,"$38,550 ",5,,,,,,,,,,
2023,Honda,CR-V EX,New,"$34,250 ",4.4,,,,,,,,,,
2023,Honda,Passport TrailSport,New,"$44,895 ",4.4,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,770 ",5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$41,235 ",4.7,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$42,000 ",5,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$32,165 ",5,,,,,,,,,,
2022,Honda,Passport EX-L,New,"$48,205 ",4.9,,,,,,,,,,
2022,Honda,Passport EX-L,New,"$48,600 ",4.9,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$35,401 ",5,,,,,,,,,,
2022,Honda,Pilot Black Edition,New,"$53,165 ",4.8,,,,,,,,,,
2022,Honda,Accord Touring,New,"$38,810 ",4.9,,,,,,,,,,
2022,Honda,Pilot Black Edition,New,"$53,560 ",4.2,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$46,500 ",4.2,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,770 ",3.4,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$46,105 ",3.4,,,,,,,,,,
2022,Honda,Passport EX-L,New,"$41,153 ",5,,,,,,,,,,
2022,Honda,Passport TrailSport,New,"$44,660 ",4.4,,,,,,,,,,
2022,Honda,Passport TrailSport,New,"$44,660 ",5,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$35,005 ",5,,,,,,,,,,
2023,Honda,Civic Si Base,New,"$29,595 ",4.7,,,,,,,,,,
2023,Honda,Accord Hybrid Sport-L,New,"$34,970 ",4.8,,,,,,,,,,
2023,Honda,Pilot EX-L 7-Passenger,New,"$45,695 ",4.8,,,,,,,,,,
2023,Honda,Accord Hybrid Touring,New,"$38,985 ",4.8,,,,,,,,,,
2023,Honda,Pilot EX-L 8-Passenger,New,"$43,295 ",4.8,,,,,,,,,,
2023,Honda,Civic Si Base,New,"$29,195 ",4.7,,,,,,,,,,
2022,Honda,Civic Si Base,New,"$28,990 ",4.7,,,,,,,,,,
2023,Honda,Civic Si Base,New,"$29,590 ",4.7,,,,,,,,,,
2023,Honda,Civic Si Base,New,"$29,195 ",4.7,,,,,,,,,,
2022,Honda,CR-V EX,New,"$29,485 ",4.7,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",5,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$46,420 ",4.8,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$46,420 ",4.8,,,,,,,,,,
2022,Honda,Pilot Touring 7-Passenger,New,"$48,465 ",4.4,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,205 ",4.5,,,,,,,,,,
2023,Honda,Ridgeline RTL,New,"$43,125 ",4.9,,,,,,,,,,
2022,Honda,HR-V Sport,New,"$26,545 ",4.8,,,,,,,,,,
2022,Honda,HR-V Sport,New,"$26,545 ",4.8,,,,,,,,,,
2023,Honda,HR-V Sport,New,"$28,790 ",5,,,,,,,,,,
2022,Honda,HR-V Sport,New,"$26,940 ",4.8,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$35,745 ",4.9,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$42,687 ",4.6,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$42,780 ",4.6,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,770 ",5,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,770 ",5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,447 ",4.6,,,,,,,,,,
2023,Honda,Pilot Sport,New,"$42,620 ",4.6,,,,,,,,,,
2022,Honda,Pilot Touring 7-Passenger,New,"$48,465 ",5,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,205 ",5,,,,,,,,,,
